Key;Type;Desc;English;French;Spanish;German;Italian
Buildings/#Apothecary_flavor;Text;;Apothecaries improve citizens' health as they make house-calls in the neighborhoods on their route. Wealthy areas want an Apothecary nearby.;Les apothicaires permettent d'améliorer la santé des citoyens en offrant un service à domicile. Les zones favorisées exigent un apothicaire.;Los boticarios mejoran la salud de los ciudadanos, ya que realizan visitas a domicilio en los barrios de su ruta. Las zonas más ricas quieren un boticario.;Apotheker verbessern durch Besuche in Häusern, die auf ihrem Weg liegen, die Gesundheit der Bürger. Reichere Gebiete verlangen nach einer Apotheke.;Le farmacie aumentano l'igiene e la salute dei cittadini che vi hanno accesso. Le zone ricche vogliono una farmacia.
Buildings/#Apothecary_tooltip;Text;;Houses visited by apothecaries are better protected from malaria;Les maisons visitées par des apothicaires sont mieux protégées contre la malaria;Las casas que reciben visitas de boticarios están mejor protegidas contra la malaria.;Von Apothekern besuchte Häuser sind besser vor Malaria geschützt.;Le case visitate dagli speziali sono maggiormente protette dalla malaria.
Buildings/#Apothecary_workers_0;Text;;This Apothecary is not operational, and does nothing for the health of the local community.;Cet apothicaire n'est pas opérationnel. Il n'est donc d'aucune utilité pour vos citoyens.;Esta botica no está en funcionamiento y no es de utilidad para la comunidad local.;Diese Apotheke ist nicht in Betrieb und ist daher der hiesigen Nachbarschaft nicht nützlich.;Questa farmacia non è operativa e non è di alcuna utilità per la comunità locale.
Buildings/#Apothecary_workers_1;Text;;This Apothecary is operational and provides potions and unguents to the local community.;Cet apothicaire est opérationnel et fournit potions et onguents à vos citoyens.;Esta botica está en funcionamiento y proporciona pociones y ungüentos a la comunidad.;Diese Apotheke ist in Betrieb und versorgt die Nachbarschaft mit Tränken und Salben.;Questa farmacia è operativa e fornisce pozioni e unguenti alla comunità locale.
Buildings/#ArchitectPost;Text;;Architect's Post;Etude d'architecte;Puesto de arquitecto;Architektenbüro;Centro di architettura
Buildings/#ArchitectPost_Architect_In;Text;;Our architect is preparing to depart.;Notre architecte se prépare à sortir.;Nuestro arquitecto se está preparando para salir.;Unser Architekt bereitet sich darauf vor hinauszugehen.;Il nostro architetto si sta preparando a uscire.
Buildings/#ArchitectPost_Architect_Out;Text;;Our architect is hard at work.;Notre architecte travaille à l'extérieur.;Nuestro arquitecto está trabajando duro.;Unser Architekt arbeitet wirklich schwer.;Il nostro architetto è molto impegnato.
Buildings/#ArchitectPost_flavor;Text;;Egyptian architects are the most advanced the world has ever known. Their vigilance prevents buildings from collapsing.;Les architectes égyptiens sont des professionnels hautement respectés dont les services sont toujours très demandés. Les bâtiments entretenus régulièrement risquent moins de s'effondrer.;Los arquitectos egipcios son los más avanzados jamás conocidos por el mundo. Su vigilancia evita que los edificios se derrumben.;Nirgends auf der Welt gibt oder gab es bessere Architekten als hier in Ägypten. Ihre ständige Aufmerksamkeit verhindert Gebäudeeinstürze.;Gli architetti egizi sono tra i più bravi del mondo. La manutenzione costante previene il crollo degli edifici.
Buildings/#ArchitectPost_tooltip;Text;;Sends an architect roaming the streets to prevent buildings from collapsing;Permet d'envoyer un architecte dans les rues pour prévenir l'effondrement des bâtiments;Envía a un arquitecto a pasearse por las ciudades para impedir que los edificios se derrumben.;Schickt einen Architekten durch die Straßen, um zu verhindern, dass Gebäude einstürzen.;Invia un architetto a ispezionare le strade per impedire agli edifici di crollare.
Buildings/#ArchitectPost_workers_0;Text;;With no architects on staff, the neighborhood is at the mercy of shifting sands.;Aucun architecte ne travaillant ici, ce quartier est à la merci des sables mouvants.;Sin arquitectos, el barrio está a merced de las arenas movedizas.;Da keine Architekten ihre Runden machen, könnten die Gebäude hier genausogut auf Sand gebaut sein.;Senza architetti, questo stesso edificio rischia di crollare da un momento all'altro.
Buildings/#ArchitectPost_workers_1;Text;;We are operating on a skeleton staff. We can barely field one architect each month.;Nous sommes vraiment trop peu nombreux. Il faut presque un mois à un architecte pour faire sa ronde.;Estamos trabajando casi sin personal. Apenas podemos contar con un arquitecto cada mes.;Wir arbeiten mit einer absoluten Rumpfmannschaft. Wir können gerade mal einen Architekten pro Monat rausschicken.;Siamo ridotti all'osso: riusciamo a malapena a far uscire un architetto al mese.
Buildings/#ArchitectPost_workers_100;Text;;Currently we have no down time. Our architects are constantly out inspecting and repairing the city's larger buildings.;Nous n'avons pas une minute à nous. Nos architectes sont toujours à l'extérieur en train d'inspecter et de réparer les détériorations des bâtiments de la cité.;Actualmente no tenemos tiempo libre. Nuestros arquitectos están constantemente fuera, examinando y reparando los edificios más grandes de la ciudad.;Momentan haben wir keine Ausfallzeit. Unsere Architekten sind ständig draußen, um die größeren Gebäude der Stadt zu inspizieren und Schäden zu reparieren.;Non abbiamo neanche un minuto libero: i nostri architetti sono sempre impegnati a ispezionare e riparare i danni agli edifici della città.
Buildings/#ArchitectPost_workers_25;Text;;We are badly understaffed and have a two-week gap between each architect's rounds.;Nous manquons cruellement de personnel, et il faut parfois deux semaines à un architecte pour faire sa ronde.;Estamos tan escasos de personal que entre una ronda de arquitectos y la siguiente pasan dos semanas.;Wir sind extrem unterbesetzt und haben eine Lücke von zwei Wochen zwischen den einzelnen Inspektionsrunden.;Abbiamo pochissimi ingegneri, tra i giri d'ispezione c'è un periodo scoperto di due settimane.
Buildings/#ArchitectPost_workers_50;Text;;We are understaffed, so we have a week's wait before our returning architects go back on duty.;Nous manquons de personnel, et il faudra attendre une semaine avant qu'un architecte reparte au travail.;Contamos con muy poco personal, por lo que tendremos que esperar una semana antes de volver a disponer de los arquitectos.;Wir sind unterbesetzt und müssen daher noch eine Woche warten, bis unsere zurückkehrenden Architekten wieder ihren Dienst tun können.;Ci manca del personale, perciò ci vorrà una settimana prima di riprendere con le ispezioni delle case.
Buildings/#ArchitectPost_workers_75;Text;;We have a day or two before our overworked architects are back out on the streets.;Nos architectes sont épuisés. Ils reprendront le travail dans un jour ou deux.;Faltan un par de días para que nuestros arquitectos saturados de trabajo vuelvan a las calles.;Es dauert noch ein oder zwei Tage, bis unsere überarbeiteten Architekten wieder auf die Straßen gehen können.;Ci vorranno un giorno o due prima che i nostri architetti escano di nuovo in strada.
Buildings/#ArtisansGuild;Text;;Artisans' Guild;Guilde des artisans;Gremio de artesanos;Kunsthandwerkergilde;Gilda degli artigiani
Buildings/#ArtisansGuild_flavor;Text;;Artisans meet here to prepare plaster from clay and mix their paints before heading out to decorate a tomb. ;Les artisans préparent ici un plâtre à base d'argile et des peintures pour décorer la tombe.;Los artesanos se reúnen aquí para fabricar yeso con arcilla y mezclar las pinturas antes de ir a decorar la tumba.;Hier treffen sich die Kunsthandwerker, um aus Ton Gips herzustellen und ihre Farben zu mischen, bevor sie mit den Arbeiten an einem Grab beginnen.;Gli artigiani si radunano qui per preparare gli stucchi dall'argilla e per mescolare le vernici prima di iniziare a decorare le tombe.
Buildings/#ArtisansGuild_stock_clay_0;Text;;The guild won't send any artisans to the tomb until it receives a supply of clay.;La guilde attend la livraison d'argile pour envoyer des artisans sur le chantier.;El gremio no enviará artesanos a la tumba hasta que reciba arcilla.;Die Gilde schickt die Kunsthandwerker erst dann zum Grab, wenn sie einen Vorrat an Ton erhält.;La gilda non invierà altri artigiani alla tomba fino a quando non riceverà argilla.
Buildings/#ArtisansGuild_stock_paint_0;Text;;Artisans are hard-pressed to decorate a tomb without much-needed paint from a Paint Maker or Storage Yard.;Les artisans attendent de la peinture venant d'une fabrique ou d'un entrepôt pour pouvoir peindre la tombe.;Los artesanos se ven en apuros para decorar la tumba sin la pintura de un fabricante de pinturas o un almacén.;Kunsthandwerker sehen sich außerstande, ein Grab auszumalen, wenn sie keine Farben von einer Farbmühle oder einem Warenlager erhalten.;Gli artigiani devono decorare una tomba, ma sarà difficile riuscirci senza la vernice, fornita da una fabbrica di pittura o un deposito merci.
Buildings/#ArtisansGuild_storage_clay;Text;;"Clay<sprite name=""Clay"">: {0} units.";"Argile<sprite name=""Clay""> : {0} unités.";"Arcilla<sprite name=""Clay"">: {0} unidades.";"Ton<sprite name=""Clay"">: {0} Einheiten.";"Argilla<sprite name=""Clay"">: {0} unità."
Buildings/#ArtisansGuild_storage_paint;Text;;"Paint<sprite name=""Paint"">: {0} units.";"Peinture<sprite name=""Paint""> : {0} unités.";"Pintura<sprite name=""Paint"">: {0} unidades.";"Farbe<sprite name=""Paint"">: {0} Einheiten.";"Pittura<sprite name=""Paint"">: {0} unità."
Buildings/#ArtisansGuild_tooltip;Text;;"Sends artisans to work on monuments when provided with paint <sprite name=""Paint""> and clay <sprite name=""Clay"">";"Envoie des artisans travailler sur les monuments en présence de peinture <sprite name=""Paint""> et d'argile <sprite name=""Clay"">";"Envía artesanos a trabajar en monumentos si se les da pintura <sprite name=""Paint""> y arcilla <sprite name=""Clay"">";"Schickt Kunsthandwerker zur Arbeit an Monumenten, wenn mit Farbe <sprite name=""Paint""> und Ton <sprite name=""Clay""> ausgestattet.";"Invia artigiani a lavorare ai monumenti se fornita di pittura <sprite name=""Paint""> e argilla <sprite name=""Clay"">."
Buildings/#ArtisansGuild_workers_0;Text;;This guild has no employees and cannot send out any artisans.;Sans employé, cette guilde ne peut envoyer aucun artisan.;Este gremio no tiene empleados y no puede enviar artesanos.;Diese Gilde hat keine Arbeitskräfte und kann keine Kunsthandwerker aussenden.;In questa gilda non ci sono lavoratori, dunque non possono addestrare gli artigiani.
Buildings/#ArtisansGuild_workers_1;Text;;Paint in the tombs has plenty of time to dry. Unless this guild finds more workers, the tomb may take an eternity to decorate.;La peinture des tombes est sérieusement ralentie. Cette guilde recherche des ouvriers pour pouvoir finir les travaux à temps.;La pintura de las tumbas tiene mucho tiempo para secarse. A menos que el gremio encuentre más trabajadores, decorar la tumba puede llevar una eternidad.;Die Farbe in den Gräbern hat viel Zeit, um zu trocknen. Sollte die Gilde nicht mehr Arbeitskräfte finden, werden die Malarbeiten im Grab eine Ewigkeit benötigen.;La vernice delle tombe ha parecchio tempo per asciugarsi. Se questa gilda non troverà altri lavoratori, potrebbe volerci un'eternità per decorare la tomba.
Buildings/#ArtisansGuild_workers_100;Text;;This guild has a full palette of artisans who waste no time decorating the interiors of tombs.;Cette guilde dispose de toute la main-d'oeuvre nécessaire pour décorer l'intérieur des tombes.;Este gremio tiene muchos artesanos que decoran el interior de las tumbas sin perder un minuto.;Diese Gilde hat alle benötigten Kunsthandwerker. Die Handwerker sind mit der Innenausstattung der Gräber beschäftigt.;Questa gilda ospita un completo gruppo di artigiani che si accingono a decorare gli interni delle tombe.
Buildings/#ArtisansGuild_workers_25;Text;;This guild needs many more workers. The few artisans that work here are doing what they can to decorate the tomb, but they need more help.;Cette guilde manque de main-d'oeuvre. En attendant, les quelques ouvriers disponibles font de leur mieux pour décorer le tombeau.;Este gremio necesita más trabajadores. Los pocos artesanos que trabajan aquí hacen lo que pueden para decorar las tumbas, pero necesitan ayuda.;Diese Gilde braucht viel mehr Arbeitskräfte. Die wenigen Kunsthandwerker, die hier arbeiten, tun zwar ihr Bestes, um das Grab auszuschmücken, aber sie brauchen Hilfe.;Questa gilda ha bisogno di molti più lavoratori. I pochi artigiani che vi lavorano stanno facendo il possibile per decorare la tomba, ma gli serve aiuto.
Buildings/#ArtisansGuild_workers_50;Text;;This guild is doing its best to provide artisans for the tomb but provides fewer tomb artisans than it could.;Cette guilde s'efforce de trouver des artisans pour décorer la tombe mais elle manque de main-d'oeuvre.;Este gremio hace lo que puede para enviar artesanos a la tumba y proporciona menos de los que podría.;Diese Gilde tut ihr Möglichstes, um genügend Kunsthandwerker für das Grab abzustellen, sie hat aber nicht ihre Sollstärke.;Questa gilda sta facendo il possibile per inviare degli artigiani alla tomba e ne addestra meno di quanti potrebbe.
Buildings/#ArtisansGuild_workers_75;Text;;This guild lacks an artisan or two. Tomb painting has slowed a little bit.;La guilde recherche un ou deux artisans pour finir la peinture des tombes.;A este gremio le falta un artesano o dos. La decoración de la tumba va algo más lenta.;Dieser Gilde fehlen ein paar Kunsthandwerker. Die Bemalung des Grabes geht etwas langsamer voran.;A questa gilda mancano uno o due artigiani. La decorazione delle tombe è leggermente rallentata.
Buildings/#Bandstand;Text;;Bandstand;Kiosque;Escenario;Musikpavillon;Chiosco
Buildings/#Bandstand_J_M;Text;;This square offers its community both exciting juggling and music from local musicians.;Cette place offre à la communauté des spectacles de jongleurs audacieux et de musiciens locaux.;Esta plaza ofrece a su comunidad emocionantes juegos malabares y música.;Dieser Platz bietet der Nachbarschaft exzellente Jongleurskunst und Konzerte hiesiger Musiker.;Questa piazza offre ai cittadini eccellenti giocolieri e ottima musica.
Buildings/#Bandstand_J_NoM;Text;;This square stages juggling. It could please audiences better if it had musicians to play.;Des jongleurs sont sur la place. L'audience serait encore plus satisfaite s'il y avait des musiciens.;Esta plaza ofrece malabarismos. A los espectadores les gustaría más si tuviera músicos.;Auf diesem Platz finden Auftritte von Jongleuren statt. Er könnte die Zuschauer noch mehr begeistern, wenn er Musiker hätte und Konzerte veranstalten könnte.;Questa piazza offre giocolieri per il divertimento dei cittadini. Cerca dei musicanti per offrire ulteriore divertimento.
Buildings/#Bandstand_JugglingShow;Text;;The current jugglers will amaze for another {0} days.;Le spectacle des jongleurs durera encore {0} jours.;Los malabaristas actuarán por otros {0} días.;Die derzeitige Vorstellung läuft noch {0} Tage.;I giocolieri daranno spettacolo ancora per {0} giorni.
Buildings/#Bandstand_MusicalShow;Text;;The musicians will play for another {0} days.;Les musiciens joueront encore pendant {0} jours.;Los músicos tocarán por otros {0} días.;Die Konzerte laufen noch für {0} Tage.;I musicanti suoneranno ancora per {0} giorni.
Buildings/#Bandstand_NoJ_M;Text;;This square hosts music for the amusement of the local community. It seeks jugglers to put on a few shows.;Les musiciens offrent un divertissement à la communauté locale sur cette place. Des jongleurs sont recherchés pour présenter divers spectacles.;Esta plaza ofrece música para el entretenimiento de la comunidad local. Busca malabaristas para montar unos cuantos espectáculos.;Dieser Platz veranstaltet Konzerte zur Unterhaltung der hier ansässigen Bevölkerung. Er sucht Jongleure, um noch andere Unterhaltung anbieten zu können.;Questa piazza offre musica per il divertimento dei cittadini. Cerca dei giocolieri per offrire ulteriore divertimento.
Buildings/#Bandstand_NoJ_NoM;Text;;This square never has any shows. It needs jugglers and musicians to liven it up.;Cette place n'est jamais utilisée pour des représentations. Elle nécessite la présence de jongleurs et de musiciens.;En esta plaza nunca hay espectáculos. Necesita malabaristas y músicos.;Auf diesem Platz finden keine Aufführungen statt. Er benötigt Jongleure und Musiker, um Unterhaltung anbieten zu können.;Questa piazza non ospita mai divertimenti. Ha bisogno di giocolieri e musicanti per offrire divertimento.
Buildings/#Bandstand_NoJugglingShow;Text;;No current juggling acts;Les jongleurs sont inactifs;No hay juegos malabares en la actualidad;Derzeit finden keine Jongleuraufführungen statt.;Nessuno spettacolo di giocolieri
Buildings/#Bandstand_NoMusicalShow;Text;;No current musical shows;Il n'y a pas de musique;No hay espectáculos musicales en la actualidad;Derzeit finden keine Konzerte statt.;Nessuno spettacolo musicale
Buildings/#Bandstand_flavor;Text;;People come here to watch the latest juggling tricks and listen to music.;Les gens viennent ici pour regarder les jongleurs et écouter de la musique.;La gente viene aquí a ver malabarismos y escuchar música.;Menschen kommen hier zusammen, um sich Jongleure anzusehen und Musik anzuhören.;La gente viene qui per guardare i giocolieri e ascoltare musica.
Buildings/#Bandstand_tooltip;Text;;Generates jugglers and musicians if serviced by the appropriate schools. Must be built at a crossroads.;Peut accueillir jongleurs et musiciens si relié aux écoles appropriées. Doit être construit sur un croisement.;Si tuviese las escuelas adecuadas, generaría malabaristas y músicos. Debe construirse en un cruce.;Erzeugt Gaukler und Musiker, wenn er von den entsprechenden Schulen versorgt wird.;Genera giocolieri e musicanti se servito dalle relative scuole. È necessario costruirlo su un crocevia.
Buildings/#Bandstand_workers_0;Text;;This square is dead. With no employees, it provides no leisure services to the local community.;Cette place est morte. La communauté locale ne dispose d'aucun divertissement.;Esta plaza está muerta. No tiene empleados y no proporciona ningún servicio de ocio a la comunidad local.;Dieser Platz ist verödet. Ohne Arbeitskräfte kann er der hiesigen Nachbarschaft keine Unterhaltungsmöglichkeiten bieten.;Questa piazza è morta. Non ha impiegati e non offre alcun divertimento alla comunità locale.
Buildings/#BarleyFarm;Text;;Barley Farm;Exploitation d'orge;Granja de cebada;Gerstefarm;Coltivazione d'orzo
Buildings/#BarleyFarm_disabled;Text;;Your Overseer of Commerce commanded that barley farming should cease.;Votre chef du commerce a ordonné l'interruption de la culture de l'orge.;El supervisor comercial ha ordenado suspender el cultivo de cebada.;Der Aufseher des Handels hat den gesamten Gesteanbau gestoppt.;Il supervisore commerciale ha bloccato la coltivazione di orzo.
Buildings/#BarleyFarm_flavor;Text;;Barley is a key ingredient for beer, without which our civilization would surely not exist.;L'orge est un ingrédient de base pour la bière, sans laquelle la civilisation égyptienne n'existerait pas.;La cebada es el principal ingrediente para hacer cerveza, sin la que la civilización no podría existir.;Gerste ist eine wichtige Zutat für Bier, ohne das keine Zivilisation überleben könnte.;L'orzo è l'ingrediente principale per la birra, senza la quale la civiltà non può esistere.
Buildings/#BarleyFarm_harvest;Text;;The next barley harvest is in {[Month]}.;La prochaine moisson d'orge se fera en {[Month]}.;La próxima cosecha de cebada es en {[Month]}.;Die nächste Gerstenernte erfolgt im {[Month]}.;Il prossimo raccolto di orzo è a: {[Month]}.
Buildings/#BarleyFarm_tooltip;Text;;"Produces barley <sprite name=""Barley"">. Harvest in February and August when built on a meadow";"Produit de l'orge <sprite name=""Barley"">. Récolte en février et août quand construite sur un pré";"Produce cebada <sprite name=""Barley"">. Se cosecha en febrero y agosto cuando se construye en un prado.";"Produziert Gerste <sprite name=""Barley"">. Ernte im Februar und August, wenn auf einer Wiese errichtet.";"Produce orzo <sprite name=""Barley"">. Il raccolto avviene a febbraio e ad agosto se costruita su un prato."
Buildings/#BarleyFarm_workers_0;Text;;This farm has no workers. The land lies fallow.;Cette ferme n'emploie personne. Ses champs sont en friche.;Esta granja no tiene empleados. La tierra está estéril.;Diese Farm hat keine Arbeitskräfte. Das Land liegt brach.;Questa fattoria non ha braccianti. Il terreno è inutilizzato.
Buildings/#BarleyFarm_workers_1;Text;;With hardly any workers at this farm, Egyptians might soon be reduced to drinking water.;Compte tenu du nombre d'employés de cette ferme, la production est pratiquement interrompue.;Con tan pocos granjeros, la producción de trigo está prácticamente detenida.;Diese Farm hat kaum Arbeitskräfte. Die Produktion ist praktisch zum Stillstand gekommen.;Questa fattoria non ha braccianti e gli Egizi potrebbero essere presto costretti a bere l'acqua.
Buildings/#BarleyFarm_workers_100;Text;;This farm has all the workers it needs. It gets maximum yield, given its fertility.;Cette ferme dispose de toute la main-d'oeuvre nécessaire. La production est à son maximum.;Esta granja tiene todo el personal que necesita. Saca el máximo beneficio de la tierra cultivada.;Diese Farm hat alle Arbeitskräfte, die sie benötigt. Sie erzielt auf ihrer Fläche maximale Erträge.;Questa fattoria ha tutti i braccianti di cui ha bisogno e sfrutta al massimo il suo terreno.
Buildings/#BarleyFarm_workers_25;Text;;So few farmers work here that we barely have enough barley for 'lite' beer.;Cette ferme ne dispose que de quelques ouvriers. La quantité d'orge est donc insuffisante pour la bière blonde.;Aquí trabajan tan pocos granjeros que apenas tenemos suficiente cebada para una cerveza sin alcohol.;Hier arbeiten so wenige Bauern, dass wir kaum genügend Gerste für Leichtbier haben.;Qui lavorano così pochi braccianti, che avremo orzo a sufficienza solo per la birra leggera.
Buildings/#BarleyFarm_workers_50;Text;;This farm is understaffed. The barley crop could be much better than it is.;Cette ferme ne dispose pas de suffisamment d'ouvriers. La production d'orge pourrait être meilleure avec plus de main-d'oeuvre.;Esta granja no tiene suficientes empleados. Sus trabajadores tardan mucho en cultivar cebada.;Diese Farm ist unterbesetzt. Ihre Arbeitskräfte brauchen sehr lange, um hier Gerste zu erzeugen.;Questa fattoria è a corto di braccianti, essi impiegano molto tempo per coltivare l'orzo.
Buildings/#BarleyFarm_workers_75;Text;;This farm has a few job openings. It could grow more barley with more workers.;Cette ferme ne dispose pas de suffisamment d'ouvriers. La production pourrait être meilleure avec plus de main-d'oeuvre.;Esta granja está funcionando por debajo de su capacidad máxima. Sería mas productiva si tuviese más trabajadores.;Diese Farm arbeitet unter ihrer maximalen Kapazität. Mit mehr Arbeitskräften könnte sie produktiver sein.;Questa fattoria funziona a ritmo ridotto: con più braccianti potrebbe risultare più produttiva.
Buildings/#BastShrine;Text;;Shrine to Bast;Sanctuaire de Bastet;Santuario de Bast;Schrein der Bastet;Santuario di Bast
Buildings/#BastShrine_flavor;Text;;When Bast is displeased, nobody's home is safe. Some blame Bast for disease, too.;Lorsque Bastet est mécontente, aucun foyer n'est en sécurité. Cette déesse est aussi considérée comme responsable des maladies.;Cuando Bast no se siente complacida, nadie está a salvo en su casa. Hay quienes culpan a Bast de las enfermedades.;Ist Bastet unzufrieden, ist niemandes Heim in Sicherheit. Mancherorts wird auch behauptet, dass sie Krankheiten schickt.;Quando Bast è dispiaciuta, nessuno è più al sicuro in casa propria. Alcuni imputano a Bast anche le malattie.
Buildings/#BastShrine_title;Text;;Shrine to Bast (Home);Sanctuaire de Bastet (foyer);Santuario de Bast (hogar);Schrein der Bastet (Heim);Santuario di Bast (Casa)
Buildings/#BastShrine_tooltip;Text;;Improves Bast's mood. Can be built a tile away from the road;Remonte le moral de Bastet. Peut être construit à une case de distance de la route;Mejora el humor de Bast. Puede construirse a una casilla de un camino.;Hebt Bastets Stimmung. Kann auf einem Feld abseits der Straße gebaut werden.;Migliora la benevolenza di Bast. Si può costruire a una casella di distanza dalla strada.
Buildings/#BastTemple;Text;;Temple to Bast;Temple de Bastet;Templo de Bast;Tempel der Bastet;Tempio di Bast
Buildings/#BastTempleComplex;Text;;Temple Complex to Bast;Ensemble de temples de Bastet;Complejo de templos de Bast;Tempelkomplex der Bastet;Complesso templi di Bast
Buildings/#BastTempleComplex_flavor;Text;;As goddess of the home, Bast can improve the quality of life in your city, and can allow your citizens to enjoy a much higher standard of living than might otherwise be the case. So great is her power that she can even help keep the other gods happy. Of course, if she is unappeased, then your city will know true misery and suffering. An Altar of Isis - goddess of healing - can help ensure that your citizens remain in good health, and even assist them if they do get sick, while an Oracle of Hathor - goddess of joy, love and festivity - can help keep your people a little happier in spite of whatever problems they might have.;En tant que déesse du foyer, Bastet peut améliorer la qualité de vie dans votre cité et accorder à vos citoyens un niveau de vie bien plus élevé. Son pouvoir est tel qu'elle peut même vous concilier les autres dieux. En revanche, si elle n'est pas apaisée, votre cité connaîtra une misère et des souffrances sans précédent. Avec un autel élevé à Isis, déesse de la guérison, vos citoyens seront assurés de rester en bonne santé et seront secourus en cas de maladie. Avec l'oracle d'Hathor, déesse de la joie, de l'amour et des fêtes, vos citoyens seront toujours heureux en dépit de leurs problèmes.;Bast, diosa del hogar, puede mejorar la calidad de vida de la ciudad y permitir a los ciudadanos disfrutar de un nivel de vida más alto. Su poder es tan grande que incluso puede mantener satisfechos a los otros dioses. Por supuesto, si no está satisfecha, tu ciudad conocerá la miseria y el sufrimiento. Un altar a Isis, diosa de la curación, puede hacer que tus ciudadanos gocen de buena salud e incluso auxiliarlos si enferman. Un oráculo de Hator, diosa de la alegría, el amor y la fiesta, puede conseguir que los ciudadanos estén más felices, a pesar de sus problemas.;Als Göttin des Heims kann Bastet die Lebensqualität in der Stadt verbessern und ihren Bürgern einen deutlich höheren Lebensstandard gewähren. Ihre Macht ist so groß, dass sie sogar helfen kann, die anderen Götter zufriedenzustellen. Ist sie dagegen unzufrieden, wird Ihre Stadt erfahren, was Leid und Armut wirklich bedeuten. Ein Altar der Isis – Göttin der Heilkunst – kann dazu beitragen, dass Ihre Bevölkerung sich guter Gesundheit erfreut, und sogar Erkrankten helfen. Ein Orakel der Hathor – Göttin der Freude, der Liebe und der Feste – macht ihre Bevölkerung trotz aller Probleme glücklicher.;In qualità di dea della casa, Bast può migliorare la qualità della vita in città. È così potente da riuscire ad appagare anche gli altri dei. Naturalmente, se non è appagata, la tua città conoscerà miseria e sofferenza. Un altare di Iside, dea della guarigione, assicura che i tuoi cittadini restino in buona salute e può persino aiutarli a superare le malattie, mentre un oracolo di Hathor, dea della gioia, amore e festività, può rallegrare la tua gente anche se versa in cattive condizioni.
Buildings/#BastTempleComplex_tooltip;Text;;This gigantic temple can only be built once, and for one god only. Greatly improves Bast's mood;Ce gigantesque temple ne peut être construit qu'une seule fois et pour un seul dieu. Remonte grandement le moral de Bastet;Este gigantesco templo puede construirse solo una vez, y solo para un dios. Mejora considerablemente el humor de Bast.;Dieser gigantische Tempel kann nur einmal und für nur einen Gott gebaut werden. Hebt die Stimmung von Bastet erheblich.;Questo tempio gigantesco può essere costruito solo una volta e per una divinità soltanto. Migliora di molto la benevolenza di Bast.
Buildings/#BastTemple_flavor;Text;;When Bast is displeased, nobody's home is safe. Some blame Bast for disease, too.;Si Bastet est mécontente, aucune maison n'est à l'abri de son courroux. Certaines personnes associent les maladies à Bastet.;Cuando Bast no se siente complacida, nadie está a salvo dentro de casa. Hay quien culpa a Bast de las enfermedades.;Ist Bastet unzufrieden, ist niemandes Heim in Sicherheit. Mancherorts wird auch behauptet, dass sie Krankheiten schickt.;Quando Bast è dispiaciuta, nessuno è più al sicuro in casa propria. Alcuni imputano a Bast anche le malattie.
Buildings/#BastTemple_title;Text;;Temple to Bast (Home);Temple de Bastet (foyer);Templo de Bast (Hogar);Tempel der Bastet (Heim);Tempio di Bast (Casa)
Buildings/#BastTemple_tooltip;Text;;Improves Bast's mood;Remonte le moral de Bastet;Mejora el humor de Bast;Hebt Bastets Stimmung;Migliora la benevolenza di Bast.
Buildings/#Bazaar;Text;;Bazaar;Bazar;Bazar;Basar;Bazar
Buildings/#Bazaar_TraderBack;Text;;The Bazaar trader is returning to restock.;Le marchand de bazar vient reconstituer ses stocks;El comerciante vuelve a por más artículos;Die Basarhändlerin kehrt zurück, um mehr Waren zu holen.;Il negoziante sta tornando per prendere altre merci.
